date,forecast,actual
2025-08-17,63.803192,63.78
2025-08-18,63.837463,64.51
2025-08-19,64.08029,63.38
2025-08-20,63.873577,64.19
2025-08-21,64.02911,64.56
2025-08-22,64.49777,64.08
2025-08-23,64.46988,64.08
2025-08-24,64.43234,64.08
2025-08-25,64.30853,65.18
2025-08-26,64.84822,63.6
2025-08-27,64.48216,64.49
2025-08-28,64.64786,64.96
2025-08-29,65.073105,64.36
2025-08-30,64.878654,64.36
2025-08-31,64.81216,64.36
2025-09-01,64.74666,64.36
2025-09-02,64.72476,65.95
2025-09-03,65.664764,64.36
2025-09-04,65.33795,63.81
2025-09-05,64.36185,62.22
2025-09-06,63.44477,62.22
2025-09-07,62.65257,62.22
2025-09-08,62.556915,62.6
2025-09-09,62.55271,62.97
2025-09-10,62.73085,64.01
2025-09-11,63.153748,62.71
2025-09-12,62.943016,63.02
2025-09-13,62.80833,63.02
2025-09-14,63.04135,63.02
2025-09-15,63.15572,63.66
