date,forecast,actual
2025-08-17,63.98469,63.78
2025-08-18,64.127075,64.51
2025-08-19,63.731,63.38
2025-08-20,64.0788,64.19
2025-08-21,64.1759,64.56
2025-08-22,64.184425,64.08
2025-08-23,64.17544,64.08
2025-08-24,64.124664,64.08
2025-08-25,64.72689,65.18
2025-08-26,64.274574,63.6
2025-08-27,63.977856,64.49
2025-08-28,64.79815,64.96
2025-08-29,64.55008,64.36
2025-08-30,64.32166,64.36
2025-08-31,64.27341,64.36
2025-09-01,63.982662,64.36
2025-09-02,65.75821,65.95
2025-09-03,64.99523,64.36
2025-09-04,64.0784,63.81
2025-09-05,62.696007,62.22
2025-09-06,62.18864,62.22
2025-09-07,62.440815,62.22
2025-09-08,62.9219,62.6
2025-09-09,62.269062,62.97
2025-09-10,63.629143,64.01
2025-09-11,63.386017,62.71
2025-09-12,62.955082,63.02
2025-09-13,63.214027,63.02
2025-09-14,63.26111,63.02
2025-09-15,63.65596,63.66
