date,forecast,actual
2025-08-17,63.77796481383185,63.78
2025-08-18,64.51527789774839,64.51
2025-08-19,63.41775670808267,63.38
2025-08-20,64.20622857197691,64.19
2025-08-21,64.57459936375813,64.56
2025-08-22,64.1380219264693,64.08
2025-08-23,64.1375297539009,64.08
2025-08-24,64.13179828291817,64.08
2025-08-25,65.25049612990135,65.18
2025-08-26,63.719820800070686,63.6
2025-08-27,64.5416056510094,64.49
2025-08-28,64.98726614827424,64.96
2025-08-29,64.37913031529605,64.36
2025-08-30,64.39262635064227,64.36
2025-08-31,64.39622120521139,64.36
2025-09-01,64.39750786757364,64.36
2025-09-02,66.0096477721679,65.95
2025-09-03,64.43781336184536,64.36
2025-09-04,63.89690245453863,63.81
2025-09-05,62.33513058305265,62.22
2025-09-06,62.348178421804235,62.22
2025-09-07,62.34852083258929,62.22
2025-09-08,62.720925921429384,62.6
2025-09-09,63.11198448744535,62.97
2025-09-10,64.11081277692814,64.01
2025-09-11,62.84965563669416,62.71
2025-09-12,63.12388216517018,63.02
2025-09-13,63.129999978795595,63.02
2025-09-14,63.1277251394443,63.02
2025-09-15,63.77088346476359,63.66
